"pers_id","nombre","pergoomet_citations","pergoomet_yearfirst","pergoomet_yearlast","pergoomet_years","pergoomet_citespaper","pergoomet_citesyear","pergoomet_hindex","pergoomet_papers","pergoomet_eindex","pergoomet_awcr","pergoomet_awindex","pergoomet_gindex","pergoomet_hcindex","uniorg_id","uniorg_nombre","tipuniorg_id"
1430,"Stella Maria Sepulveda Ortega",113,2014,2022,10,4.19,11.3,3,27,10.2,17.57,4.19,10,2,4287,"Centro de Investigación La Selva",9
2710,"Julian Roberto Mejia Salazar",24,2014,2022,10,1.6,2.4,3,15,2.65,5.9,2.43,4,3,4231,"Pastos y forrajes tropicales",12
2710,"Julian Roberto Mejia Salazar",24,2014,2022,10,1.6,2.4,3,15,2.65,5.9,2.43,4,3,4284,"Centro de Investigación El Mira",9
2710,"Julian Roberto Mejia Salazar",24,2014,2022,10,1.6,2.4,3,15,2.65,5.9,2.43,4,3,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
2710,"Julian Roberto Mejia Salazar",24,2014,2022,10,1.6,2.4,3,15,2.65,5.9,2.43,4,3,4280,"Red de Innovación de Cacao",13
2942,"Clara Ines Medina Cano",1335,1983,2023,41,10.6,32.56,19,126,24.58,91.72,9.58,34,11,4278,"Red de Innovación de Hortalizas y Plantas Aromáticas",13
2942,"Clara Ines Medina Cano",1335,1983,2023,41,10.6,32.56,19,126,24.58,91.72,9.58,34,11,4287,"Centro de Investigación La Selva",9
2942,"Clara Ines Medina Cano",1335,1983,2023,41,10.6,32.56,19,126,24.58,91.72,9.58,34,11,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
2955,"Jorge Eliecer Jaramillo Noreña",114,2006,2022,18,11.4,6.33,4,10,9.22,13.54,3.68,10,4,4287,"Centro de Investigación La Selva",9
2955,"Jorge Eliecer Jaramillo Noreña",114,2006,2022,18,11.4,6.33,4,10,9.22,13.54,3.68,10,4,4278,"Red de Innovación de Hortalizas y Plantas Aromáticas",13
2955,"Jorge Eliecer Jaramillo Noreña",114,2006,2022,18,11.4,6.33,4,10,9.22,13.54,3.68,10,4,4236,"Sistemas agrícolas del trópico (SAT)",12
3002,"Ruth Rebeca Bonilla Buitrago",1688,1994,2023,30,16.71,56.27,19,101,34.19,186.92,13.67,41,14,4237,"Sistemas Agropecuarios sostenibles",12
3002,"Ruth Rebeca Bonilla Buitrago",1688,1994,2023,30,16.71,56.27,19,101,34.19,186.92,13.67,41,14,4281,"Red de Innovación de Ganadería y Especies Menores",13
3002,"Ruth Rebeca Bonilla Buitrago",1688,1994,2023,30,16.71,56.27,19,101,34.19,186.92,13.67,41,14,4305,"Sede Central",9
3009,"Javier Orlando Orduz Rodriguez",1294,1927,2023,97,4.67,13.34,21,277,17.58,118.49,10.89,29,9,4221,"Ecologia y agricultura inteligente para la sostenibilidad y competitividad de los sistemas de producción en el trópico",12
3009,"Javier Orlando Orduz Rodriguez",1294,1927,2023,97,4.67,13.34,21,277,17.58,118.49,10.89,29,9,4279,"Red de Innovación de Frutales",13
3009,"Javier Orlando Orduz Rodriguez",1294,1927,2023,97,4.67,13.34,21,277,17.58,118.49,10.89,29,9,4286,"Centro de Investigación La Libertad",9
3012,"Jose Euripides Baquero Peñuela",36,1985,2019,39,1.33,0.92,3,27,3.46,4.05,2.01,5,1,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3012,"Jose Euripides Baquero Peñuela",36,1985,2019,39,1.33,0.92,3,27,3.46,4.05,2.01,5,1,4216,"Agricultura de conservación para suelos de tropico bajo",12
3012,"Jose Euripides Baquero Peñuela",36,1985,2019,39,1.33,0.92,3,27,3.46,4.05,2.01,5,1,4286,"Centro de Investigación La Libertad",9
3013,"Fredy Enrique Garcia Castro",90,1995,2023,29,2.5,3.1,7,36,5.2,15.53,3.94,9,4,4281,"Red de Innovación de Ganadería y Especies Menores",13
3013,"Fredy Enrique Garcia Castro",90,1995,2023,29,2.5,3.1,7,36,5.2,15.53,3.94,9,4,4293,"Centro de Investigación Tibaitatá",9
3013,"Fredy Enrique Garcia Castro",90,1995,2023,29,2.5,3.1,7,36,5.2,15.53,3.94,9,4,4224,"Grupo de Investigación e Innovación en salud y bienestar animal",12
